"id","name","name_en","name_wf","description","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total","type"
152,"Cukier puder","Powdered sugar","Raw sugar, cane","Sugar cane",1107.00792749392,454.958742774393,103.996203755674,1665.96287402399,NA,NA,NA,NA,"crops"
153,"Truskawki mrozone","Frozen Strawberries","Strawberries,uncookd o steamd o boild in water,sweetend o not,frozen","Strawberries",200.97515043091,109.39546695391,36.6084436581222,346.979061042942,708.096186829033,106.032676047013,NA,814.128862876046,"crops"
154,"Por","Leek","Onions and shallots, fresh or chilled","Onions (inc. shallots), green",176.389330786108,44.4998257033403,51.0473825505614,271.93653904001,NA,NA,NA,NA,"crops"
155,"Papryka zólta","Yellow Peppers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"Mandarynka","Mandarin oranges","Mandarins(tang&sats)clementines&wilkgs &sim citrus hybrids,fresh/drid","Tangerines, mandarins, clem.",478.904562461412,117.740192405659,151.782748436682,748.427503303753,NA,NA,NA,NA,"crops"
157,"Wafle ryzowe","Rice waffles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"Chalka","Challah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,"Pieczarki","Mushrooms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,"Kasza gryczana","Buckwheat groats","Wheat groats and meal","Wheat",1423.43737756229,381.662327642598,231.169279077866,2036.26898428275,1145.99734243096,0.574150551368366,541.40167655555,1687.97316953788,"crops"
161,"Platki jeczmienne","Barley Flakes","Barley, rolled or flaked grains","Barley",1685.16963917954,109.547643914607,182.248567276766,1976.96585037091,1354.90745176069,NA,NA,1354.90745176069,"crops"
162,"Wafle kukurydziane","Cornmeal wafers","Maize (corn)","Maize",947.196348038685,81.2263955986408,193.930919677353,1222.35366331468,621.523816308635,12.3317716147868,388.113658465781,1021.9692463892,"crops"
163,"Sok jablkowy","Apple juice","Apple juice unfermented&not spiritd whether or not sugard or sweetend","Apples",779.648598410276,185.167710300354,176.308338996135,1141.12464770677,541.008255468798,0.778588816619997,NA,541.786844285418,"crops"
164,"Sandacz","Zander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
